id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
68,Shimelmitz and Kuhn 2013,Tabun IX D,"Levallois points from elongated levallois cores through unidirectional convergence method.  Figure 4 shows good example of debordante and facetting plus tablet scars. In text they discuss how distal convexities were sometimes managed from distal removals Debordantes seem to be treated as the same as NBK but not sure. Either way there's discussion of debordants. Really good example of needing a coding system to interpret phrases. ""Maintaining the core's distal convexity through intentionally striking over- passing flakes and blades is a delicate business. In some cases small flakes also were removed from the end of the core opposite the main striking platform to help maintain the required distal convexity of core faces.""",Unattributed,Other,Archaeological,Single sequence,Israel,IL,Asia,1,32.701091,34.931184,231,283,257.0,Mercier et al. 2003. 257 +_ 26,10,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
69,Spinapolice et al. 2014,Jebel Gharbi SJ-00-58A,Aterian tanged flakes made on blade cores. This paper is light on the full details but references boeda to indicate that all steps are present.,H. sapiens,Other,Archaeological,Single sequence,Libya,LY,Africa,0,31.992947,12.013013,27,85,56.0,,10,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
70,Groucutt 2014,Tor Faraj,Levallois points from preferential unidirectional convergent prepared cores. Reported top right of fig 4. Deb. prep of lat margins. overshot of points repreps the distal convexity. Some bidirectional prep /management of disatl convexity that way. Retouch is limited.  no mention of soft.,Unattributed,Other,Archaeological,Single sequence,Israel,IL,Asia,0,29.931241,34.759004,50,70,60.0,,10,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
71,Hublin et al. 1987 and Richter et al. 2017,Jebel Irhoud,"preferential levallois points lots of preparation trimming of lateral and distal convexities no mention of debordantes no soft hammer percussion. Invasive retouch. removal of butt. Lots of color in the description of the tech. On soft hammer: "" Il n'y a qu'un éclat pouvant avoir été débité au percuteur tendre... donc il n'y en a pas ! "". No cores.",H. sapiens,Other,Archaeological,Single sequence,Morocco,MA,Africa,0,32.331585,-9.222535,281,349,315.0,Richter et al. 2017,8,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,Wilkins and Chazan 2012,Kathu Pan 1,Blades made on levallois cores. retouched,Unattributed,Other,Archaeological,Single sequence,South Africa,ZA,Africa,0,-27.568137,23.017538,464,682,573.0,,10,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
73,Wilkins and Chazan 2012,Kathu Pan 1,Whole,Unattributed,Other,Archaeological,Whole assemblage,South Africa,ZA,Africa,0,-27.640958,23.002852,464,682,573.0,,12,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
74,Coutouly 2017,Amakomanak,Microblade manufacture. inferred from description in text and based on figure 4. microblade core number 21976.,H. sapiens,Other,Archaeological,Single sequence,United States of America,US,North America,0,66.951504,-156.75794,9.4,9.6,9.5,,13,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Wilson et al. 2011,High River,Marlan's F1 sequence 1970. Microblade reduction figure 5 core 3 in 2011 text.,H. sapiens,Other,Archaeological,Single sequence,Canada,CA,North America,0,50.663514,-113.797379,8,9,8.5,,13,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
76,Wilson et al. 2011,High River,Whole assemblage only microblade tech,H. sapiens,Other,Archaeological,Whole assemblage,Canada,CA,North America,0,50.609299,-113.782873,8,9,8.5,,13,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
77,Desrosiers and Gendron 2004,GhGk-63,Microblade manufacture then retouched into point. for example figure 5.5,H. sapiens,Other,Archaeological,Single sequence,Canada,CA,North America,1,55.319928,-77.773662,1.6,2.1,1.85,,17,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
78,Desrosiers and Gendron 2004,GhGk-63,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Canada,CA,North America,0,55.155382,-77.76602,1.6,2.1,1.85,,21,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1
