id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
1,Moore 2003,Georgina River Bridge Site,Camooweal sharktooth method,H. sapiens,Other,Archaeological,Single sequence,Australia,AU,Oceania,0,-19.944796,138.132224,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,9,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,Moore 2003,Georgina River Bridge Site,Camooweal standard method,H. sapiens,Other,Archaeological,Single sequence,Australia,AU,Oceania,0,-19.924199,138.10589,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,8,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,Moore 2003,Georgina River Bridge Site,All blade techs,H. sapiens,Other,Archaeological,Whole assemblage,Australia,AU,Oceania,0,-19.94402,138.118693,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,12,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
4,Barzilai and Goring-Morris 2010,Kfar HaHoresh,Naviform reduction producing blades that are made into amuq points.,H. sapiens,Other,Archaeological,Single sequence,Israel,IL,Asia,0,32.591888,35.275956,11,12.2,11.6,,17,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
5,Barzilai and Goring-Morris 2010,Kfar HaHoresh,All techniques reporte,H. sapiens,Other,Archaeological,Whole assemblage,Israel,IL,Asia,0,32.714663,35.289691,11,12.2,11.6,,21,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1
6,Stout et al. 2010,EG12,Oldowan pebble cores with rotation.,Unattributed,Oldowan,Archaeological,Single sequence,Ethiopia,ET,Africa,0,11.209208,40.607938,2500,2600,2550.0,Stout et al. 2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Stout et al. 2010,EG12,Oldowan pebble cores without rotation.,Unattributed,Oldowan,Archaeological,Single sequence,Ethiopia,ET,Africa,0,11.114709,40.412068,2500,2600,2550.0,Stout et al. 2010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Stout et al. 2010,EG12,All reduction sequences,Unattributed,Oldowan,Archaeological,Whole assemblage,Ethiopia,ET,Africa,0,11.153066,40.649356,2500,2600,2550.0,Stout et al. 2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Hogberg et al. 2011,Hollow Rockshelter,Unifacial Still bay points. Bifacially flaked predominately shaped by freehand hard hammer percussion but in late stages there's retouch to form the tang and some of that retouch is invasive and pressure flaked.,Unattributed,Other,Archaeological,Single sequence,South Africa,ZA,Africa,0,-32.079833,19.085351,72,80,76.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
10,Sorensen 2004,Itinnera,Arctic small tool tradition at Saqqaq. Burins made on little bifaces. hafted. burin spalls taken through pressure.,H. sapiens,Other,Archaeological,Single sequence,Greenland,GL,North America,0,64.282144,-50.792933,3,4.4,3.7,,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
11,Villa et al. 2010,Klasies cave 1A lower HP,Howieson's poort backed pieces on blade segments made from blades produced on hierarchical cores displayed in fig 16 and 15. And supp fig 5. characteristic of HP D sample Upper and lower.,Unattributed,Other,Archaeological,Single sequence,South Africa,ZA,Africa,0,-33.998339,24.385255,53,68.1,60.55,Jacobs et al. 2008a. sample ZKR10 and Tribolo 2003 TL on heated quartzites.,14,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
12,Villa et al. 2010,Klasies cave 1A lower HP,all HP tech described. nothing from MSAiii.,Unattributed,Other,Archaeological,Whole assemblage,South Africa,ZA,Africa,1,-34.200641,24.380442,53,68.1,60.55,Jacobs et al. 2008a. sample ZKR10 and Tribolo 2003 TL on heated quartzites.,16,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
13,Villa et al. 2010,Klasies cave MSA III deacon exc.,MSA III materials. all,Unattributed,Other,Archaeological,Whole assemblage,South Africa,ZA,Africa,0,-34.073799,24.395888,50,60,55.0,Feathers 2002 L sample UW 201. and Tribolo 2003 TL heated quartzites,13,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
14,Tryon et al. 2006,Kapthurin LHA FS,Early Levallois at Kapthurin LHA fig. 3. Centripetally prepared preferential cores with ventral thinning.,Unattributed,Other,Archaeological,Single sequence,Kenya,KE,Africa,0,0.598558,35.983753,284,509,396.5,,8,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,Tryon et al. 2006,Kapthurin LHA FS,Whole assemblage,Unattributed,Other,Archaeological,Whole assemblage,Kenya,KE,Africa,0,0.587323,35.977921,284,509,396.5,,12,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
16,Tryon et al. 2006,Koilomot locus 2,Kapthurin preferential hierarchical flake cores. fIG 4 Core C. Prepared through debordante removals distal convexities managed by distal flakes no lateral trimming though its common on other cores. No mention of platform abrasion or overhang trimming. No retouch in Koilomot locus 2 either.,Unattributed,Other,Archaeological,Single sequence,Kenya,KE,Africa,0,0.504712,35.976201,200,250,225.0,,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Tryon et al. 2006,Koilomot locus 2,Whole assemblage,Unattributed,Other,Archaeological,Whole assemblage,Kenya,KE,Africa,0,0.636059,35.974629,200,250,225.0,,8,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Goren-Inbar et al. 2008,Gesher Benot Ya'aqov,Scrapers on massive flakes,Unattributed,Acheulean,Archaeological,Single sequence,Israel,IL,Asia,0,33.048993,35.523897,760,860,810.0,Need to double check An Acheulian biface assemblage from Gesher Benot Ya'aqov Israel: indications of African affinities,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Goren-Inbar et al. 2008,Gesher Benot Ya'aqov,Handaxes from kombewa flakes and only handaxes,Unattributed,Acheulean,Archaeological,Single sequence,Syria,SY,Asia,0,32.92078,35.984408,760,860,810.0,Need to double check An Acheulian biface assemblage from Gesher Benot Ya'aqov Israel: indications of African affinities,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Goren-Inbar et al. 2008,Gesher Benot Ya'aqov,Whole assemblage,Unattributed,Acheulean,Archaeological,Whole assemblage,Israel,IL,Asia,0,32.96281,35.077059,760,860,810.0,Need to double check An Acheulian biface assemblage from Gesher Benot Ya'aqov Israel: indications of African affinities,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
21,Li et al. 2017,Canteen Koppie,Victoria west type 1 cleaver. Hoenderbek core is centripetally prepared with one preferential removal taken. No retouch afterwards.,Unattributed,Acheulean,Archaeological,Single sequence,South Africa,ZA,Africa,0,-28.495179,24.539593,800,1100,950.0,,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Pleurdeau 2006,Porc epic,Bifacially retouched points that are unidirectionally flaked made on first scheme cores  that are centripetally prepared  (like Fig. 5.1) fig. 8.,H. sapiens,Other,Archaeological,Single sequence,Ethiopia,ET,Africa,0,9.509334,41.901531,60,80,70.0,,11,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
23,Pleurdeau 2006,Porc epic,Scheme 4 blade production where core is prepped with crested blades. Blanks are from bidirectional reduction. Those blanks are backed to form backed pieces.,H. sapiens,Other,Archaeological,Single sequence,Ethiopia,ET,Africa,0,9.532263,41.874222,60,80,70.0,,9,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
24,Pleurdeau 2006,Porc epic,whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Ethiopia,ET,Africa,0,9.493042,41.881811,60,80,70.0,,16,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0
25,Harmand et. al. 2015,Lomekwi 3,Bipolar unifacial core (LOM3-2012-H18-1 3.45 kg) bipolar technique. Extended Data Fig. 6b for more details.,Unattributed,Lomekwian,Archaeological,Single sequence,Kenya,KE,Africa,0,3.758121,35.718613,3210,3330,3270.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Harmand et. al. 2015,Lomekwi 3,whole assemblage,Unattributed,Lomekwian,Archaeological,Whole assemblage,Kenya,KE,Africa,0,3.754466,35.751081,3210,3330,3270.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Delagnes and Roche 2005,Lokalalei 2c,Lokalalei 2c Fig. 6. Refitting group 2 (8 items).,Unattributed,Oldowan,Archaeological,Single sequence,Kenya,KE,Africa,0,3.930279,35.784084,2290,2390,2340.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Delagnes and Roche 2005,Lokalalei 2c,Whole assemblage,Unattributed,Oldowan,Archaeological,Whole assemblage,Kenya,KE,Africa,0,3.891741,35.76898,2290,2390,2340.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Plummer and Bishop 2016,Kanjera,Kanjera retouched flakes from centripetal cores Fig 2,Unattributed,Oldowan,Archaeological,Single sequence,Kenya,KE,Africa,0,0.372989,34.534758,1950,2300,2125.0,Plummer et al. 2009. oldest evidenceof toolmaking hominins in a grassland dominated ecosystem,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,Plummer and Bishop 2016,Kanjera,Whole assemblage,Unattributed,Oldowan,Archaeological,Whole assemblage,Kenya,KE,Africa,0,0.323151,34.543918,1950,2300,2125.0,Plummer et al. 2009. oldest evidenceof toolmaking hominins in a grassland dominated ecosystem,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Diez-Martin et al. 2009,Olduvai Bed II BK,Olduvai Bed II Bifacial multipolar centripetal hierarchized cores from BK 3. Look like recurrent centripetal levallois.,Unattributed,Oldowan (probable),Archaeological,Single sequence,Tanzania,TZ,Africa,0,-2.964758,35.348857,1645,1805,1725.0,McHenry et al. 2018. Figure 2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32,Diez-Martin et al. 2009,Olduvai Bed II BK,Hierarchized cores and bipolar reduction.,Unattributed,Oldowan (probable),Archaeological,Whole assemblage,Tanzania,TZ,Africa,0,-3.029339,35.372679,1645,1805,1725.0,McHenry et al. 2018. Figure 2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
33,Isaac 1977,Olorgesaillie,Olorgesaillie Biface with invasive scarring. Plate 59. Tr. Tr. 140-150 floor.,Unattributed,Acheulean,Archaeological,Single sequence,Kenya,KE,Africa,0,-1.650205,35.990779,500,1200,850.0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,Clark 1971,Starr Carr,backed and burinated bladelets from bladelet cores rejuvinated through debordante,H. sapiens,Other,Archaeological,Single sequence,United Kingdom,GB,Europe,0,54.174057,-0.406907,10.4,10.7,10.55,,12,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
35,Barzilai and Ashkenazy 2015,Nahal Sekher VI,bifacially Backed lunates made on mbt bladelets struck from single platform cores like those illustrated in figure 15. Though we code facetting as present given their description in the text and in core figure 16.  Rejuvinated with tablets and established with crested bladelets. no debordantes,H. sapiens,Other,Archaeological,Single sequence,Israel,IL,Asia,0,31.223827,34.898652,11.8,13.6,12.7,,14,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
36,Barzilai and Ashkenazy 2015,Nahal Sekher VI,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Israel,IL,Asia,0,31.181782,34.882401,11.8,13.6,12.7,,15,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
37,Stout et al. 2014,Boxgrove,Handaxes with tranchet sharpening knapped with hard and softhammers.Platforms are prepared through facetting but little sign of abrasion and microchipping.,H. heidelbergensis,Acheulean,Archaeological,Single sequence,United Kingdom,GB,Europe,0,50.902632,-0.6796,478,524,501.0,,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
38,Pasda 2017,Munzingen,Blades from prepared unidirectional blade cores with nflksrfc prepared platform and face shaped. including microchipping. Fashioned into burinated and retouched pieces. Fig 2. 11 fig 6. 1.Overall not a full description of the reductions equence but rich description of the kinds of artifacts present and some of their relationships.,H. sapiens,Other,Archaeological,Single sequence,Germany,DE,Europe,0,48.05774,7.693459,18,20,19.0,,10,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
39,Pasda 2017,Munzingen,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Germany,DE,Europe,0,48.098257,7.682806,18,20,19.0,,13,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
40,Hahn and Owen 1985,Geissenklosterle Cave Aurignacian,Aurignacian blade cores in figure 2. Most coding based on description of tech.,H. sapiens,Other,Archaeological,Single sequence,Germany,DE,Europe,0,48.302965,9.78398,38.7,41.7,40.2,Richter et al. 2000 Thermoluminescence…. JAS,10,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
41,Hahn and Owen 1985,Geissenklosterle Cave Aurignacian,Whole assemblage,H. sapiens,Other,Archaeological,Whole assemblage,Germany,DE,Europe,0,48.444903,9.736746,38.7,41.7,40.2,Richter et al. 2000 Thermoluminescence…. JAS,11,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
42,Hahn and Owen 1985,Geissenklosterle Cave Gravettian,Gravettian blade cores. Most coding based on description.,H. sapiens,Other,Archaeological,Single sequence,Germany,DE,Europe,0,48.445396,9.776872,28.75,29.25,29.0,Richter et al. 2000 Thermoluminescence…. JAS,15,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
